#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
94.0,Jordan,13650,549.0,79.0,10.0,4929.0,177.0,8642.0,48.0,1334.0,8.0,1250781.0,122276.0,10229177.0,Asia,749.0,129483.0,8.0
95.0,Malaysia,11771,287.0,136.0,,10095.0,81.0,1540.0,22.0,362.0,4.0,1581208.0,48694.0,32472086.0,Asia,2759.0,238765.0,21.0
96.0,Montenegro,11690,130.0,172.0,2.0,7618.0,221.0,3900.0,17.0,18612.0,274.0,70087.0,111588.0,628087.0,Europe,54.0,3652.0,9.0
97.0,Slovakia,11617,679.0,54.0,6.0,4756.0,136.0,6807.0,39.0,2128.0,10.0,474845.0,86963.0,5460333.0,Europe,470.0,101117.0,11.0
98.0,Namibia,11480,107.0,123.0,,9351.0,268.0,2006.0,9.0,4497.0,48.0,100721.0,39459.0,2552566.0,Africa,222.0,20753.0,25.0
99.0,Guinea,10735,83.0,66.0,,10066.0,70.0,603.0,24.0,812.0,5.0,33375.0,2524.0,13221560.0,Africa,1232.0,200327.0,396.0
100.0,DRC,10729,44.0,272.0,,10183.0,18.0,274.0,,119.0,3.0,,,90235617.0,Africa,8410.0,331749.0,
101.0,Maldives,10398,44.0,34.0,,9213.0,26.0,1151.0,12.0,19151.0,63.0,149135.0,274671.0,542959.0,Asia,52.0,15969.0,4.0
102.0,Finland,10244,141.0,345.0,1.0,8100.0,,1799.0,4.0,1848.0,62.0,1062584.0,191700.0,5542964.0,Europe,541.0,16067.0,5.0
103.0,French Guiana,9968,2.0,67.0,,9637.0,24.0,264.0,4.0,33159.0,223.0,66825.0,222294.0,300616.0,South America,30.0,4487.0,4.0
104.0,Tajikistan,9852,41.0,77.0,,8661.0,44.0,1114.0,,1027.0,8.0,,,9591498.0,Asia,974.0,124565.0,
105.0,Mozambique,8979,91.0,64.0,2.0,5595.0,22.0,3320.0,,285.0,2.0,142028.0,4513.0,31473267.0,Africa,3505.0,491770.0,222.0
106.0,Gabon,8797,31.0,54.0,,8067.0,62.0,676.0,3.0,3929.0,24.0,180173.0,80474.0,2238909.0,Africa,255.0,41461.0,12.0
107.0,Haiti,8792,11.0,229.0,,6949.0,42.0,1614.0,,769.0,20.0,28290.0,2473.0,11438127.0,North America,1301.0,49948.0,404.0
108.0,Luxembourg,8709,114.0,125.0,,7428.0,148.0,1156.0,5.0,13855.0,199.0,843559.0,1342035.0,628567.0,Europe,72.0,5029.0,1.0
109.0,Uganda,8491,204.0,79.0,4.0,4470.0,40.0,3942.0,,184.0,2.0,486658.0,10557.0,46097874.0,Africa,5429.0,583517.0,95.0
110.0,Zimbabwe,7858,8.0,228.0,,6322.0,10.0,1308.0,,527.0,15.0,159741.0,10708.0,14918104.0,Africa,1898.0,65430.0,93.0
111.0,Mauritania,7511,6.0,162.0,1.0,7163.0,25.0,186.0,3.0,1605.0,35.0,80652.0,17233.0,4680162.0,Africa,623.0,28890.0,58.0
112.0,Georgia,7093,453.0,46.0,5.0,3714.0,295.0,3333.0,,1779.0,12.0,639816.0,160469.0,3987160.0,Asia,562.0,86677.0,6.0
113.0,Jamaica,6704,149.0,116.0,5.0,2112.0,121.0,4476.0,15.0,2261.0,39.0,79506.0,26819.0,2964521.0,North America,442.0,25556.0,37.0
114.0,Cabo Verde,6205,79.0,62.0,1.0,5399.0,61.0,744.0,,11129.0,111.0,76576.0,137347.0,557537.0,Africa,90.0,8993.0,7.0
115.0,Slovenia,6103,238.0,154.0,2.0,4041.0,135.0,1908.0,24.0,2936.0,74.0,231678.0,111437.0,2079013.0,Europe,341.0,13500.0,9.0
116.0,Malawi,5783,4.0,179.0,,4535.0,21.0,1069.0,4.0,300.0,9.0,54015.0,2805.0,19253432.0,Africa,3329.0,107561.0,356.0
117.0,Cuba,5718,48.0,122.0,,4922.0,,674.0,6.0,505.0,11.0,628725.0,55518.0,11324807.0,North America,1981.0,92826.0,18.0
118.0,Guadeloupe,5528,,57.0,,2199.0,,3272.0,24.0,13815.0,142.0,55187.0,137919.0,400142.0,North America,72.0,7020.0,7.0
119.0,Eswatini,5521,21.0,111.0,,5061.0,61.0,349.0,11.0,4746.0,95.0,31969.0,27482.0,1163250.0,Africa,211.0,10480.0,36.0
120.0,Djibouti,5417,,61.0,,5346.0,,10.0,,5463.0,62.0,77365.0,78015.0,991664.0,Africa,183.0,16257.0,13.0
121.0,Angola,5211,97.0,189.0,4.0,2215.0,133.0,2807.0,15.0,157.0,6.0,85213.0,2573.0,33119075.0,Africa,6356.0,175233.0,389.0
122.0,Nicaragua,5170,,151.0,,2913.0,,2106.0,,778.0,23.0,,,6644749.0,North America,1285.0,44005.0,
123.0,Hong Kong,5105,7.0,105.0,,4842.0,6.0,158.0,10.0,680.0,14.0,3311279.0,440759.0,7512668.0,Asia,1472.0,71549.0,2.0
124.0,Congo,5089,,89.0,,3887.0,,1113.0,,917.0,16.0,,,5552094.0,Africa,1091.0,62383.0,
125.0,Equatorial Guinea,5045,,83.0,,4879.0,,83.0,4.0,3567.0,59.0,60916.0,43070.0,1414344.0,Africa,280.0,17040.0,23.0
126.0,Lithuania,4956,172.0,93.0,1.0,2466.0,42.0,2397.0,,1827.0,34.0,788384.0,290686.0,2712148.0,Europe,547.0,29163.0,3.0
127.0,Suriname,4899,8.0,105.0,,4715.0,13.0,79.0,6.0,8332.0,179.0,14382.0,24460.0,587986.0,South America,120.0,5600.0,41.0
128.0,Rwanda,4847,4.0,29.0,,3197.0,16.0,1621.0,,372.0,2.0,500249.0,38384.0,13032580.0,Africa,2689.0,449399.0,26.0
129.0,CAR,4829,,62.0,,1914.0,,2853.0,2.0,995.0,13.0,32263.0,6651.0,4851075.0,Africa,1005.0,78243.0,150.0
130.0,Trinidad and Tobago,4629,59.0,76.0,,2729.0,100.0,1824.0,13.0,3305.0,54.0,31927.0,22794.0,1400666.0,North America,303.0,18430.0,44.0
131.0,Syria,4289,42.0,203.0,1.0,1130.0,13.0,2956.0,,244.0,12.0,,,17607166.0,Asia,4105.0,86735.0,
132.0,Bahamas,4220,97.0,96.0,,2290.0,84.0,1834.0,79.0,10705.0,244.0,20835.0,52852.0,394211.0,North America,93.0,4106.0,19.0
133.0,Réunion,4178,185.0,16.0,,3360.0,541.0,802.0,17.0,4658.0,18.0,35419.0,39488.0,896963.0,Africa,215.0,56060.0,25.0
134.0,Aruba,4038,40.0,30.0,3.0,3406.0,79.0,602.0,12.0,37779.0,281.0,32255.0,301776.0,106884.0,North America,26.0,3563.0,3.0
135.0,Mayotte,3779,,42.0,,2964.0,,773.0,2.0,13769.0,153.0,13000.0,47365.0,274465.0,Africa,73.0,6535.0,21.0
136.0,Somalia,3593,,99.0,,3001.0,,493.0,,225.0,6.0,,,16003549.0,Africa,4454.0,161652.0,
137.0,Gambia,3585,1.0,115.0,2.0,2224.0,8.0,1246.0,,1473.0,47.0,17472.0,7180.0,2433555.0,Africa,679.0,21161.0,139.0
138.0,Thailand,3575,6.0,59.0,,3384.0,5.0,132.0,1.0,51.0,0.8,749213.0,10727.0,69845572.0,Asia,19537.0,1183823.0,93.0
139.0,Estonia,3506,56.0,66.0,1.0,2675.0,32.0,765.0,2.0,2643.0,50.0,217714.0,164093.0,1326768.0,Europe,378.0,20103.0,6.0
140.0,Sri Lanka,3388,6.0,13.0,,3245.0,12.0,130.0,,158.0,0.6,289588.0,13509.0,21436557.0,Asia,6327.0,1648966.0,74.0
141.0,Botswana,3172,,16.0,,710.0,,2446.0,1.0,1342.0,7.0,184076.0,77879.0,2363614.0,Africa,745.0,147726.0,13.0
142.0,Mali,3156,25.0,131.0,,2467.0,7.0,558.0,,155.0,6.0,54675.0,2681.0,20395711.0,Africa,6463.0,155692.0,373.0
143.0,Malta,3139,44.0,37.0,2.0,2668.0,63.0,434.0,,7104.0,84.0,258809.0,585741.0,441849.0,Europe,141.0,11942.0,2.0
144.0,Guyana,2968,39.0,85.0,3.0,1776.0,16.0,1107.0,15.0,3769.0,108.0,14520.0,18437.0,787536.0,South America,265.0,9265.0,54.0
145.0,Iceland,2809,40.0,10.0,,2194.0,17.0,605.0,3.0,8218.0,29.0,283504.0,829405.0,341816.0,Europe,122.0,34182.0,1.0
146.0,South Sudan,2715,11.0,50.0,1.0,1290.0,,1375.0,,242.0,4.0,12044.0,1073.0,11227362.0,Africa,4135.0,224547.0,932.0
147.0,Guinea-Bissau,2362,38.0,39.0,,1549.0,,774.0,5.0,1193.0,20.0,,,1979668.0,Africa,838.0,50761.0,
148.0,Benin,2357,,41.0,,1973.0,,343.0,,193.0,3.0,203831.0,16704.0,12202467.0,Africa,5177.0,297621.0,60.0
149.0,Sierra Leone,2252,14.0,72.0,,1697.0,2.0,483.0,,281.0,9.0,,,8017924.0,Africa,3560.0,111360.0,
150.0,Burkina Faso,2123,35.0,59.0,1.0,1385.0,22.0,679.0,,101.0,3.0,,,21046022.0,Africa,9913.0,356712.0,
151.0,Andorra,2110,60.0,53.0,,1540.0,108.0,517.0,9.0,27297.0,686.0,137457.0,1778297.0,77297.0,Europe,37.0,1458.0,1.0
152.0,Uruguay,2097,36.0,48.0,,1824.0,15.0,225.0,2.0,603.0,14.0,242136.0,69642.0,3476859.0,South America,1658.0,72435.0,14.0
153.0,Yemen,2040,1.0,589.0,2.0,1307.0,10.0,144.0,,68.0,20.0,,,29991235.0,Asia,14702.0,50919.0,
154.0,Belize,2026,34.0,27.0,,1272.0,26.0,727.0,2.0,5072.0,68.0,15144.0,37911.0,399457.0,North America,197.0,14795.0,26.0
155.0,French Polynesia,1964,112.0,8.0,1.0,1555.0,51.0,401.0,11.0,6981.0,28.0,26355.0,93681.0,281328.0,Australia/Oceania,143.0,35166.0,11.0
156.0,Latvia,1945,77.0,38.0,1.0,1307.0,,600.0,3.0,1034.0,20.0,328631.0,174743.0,1880654.0,Europe,967.0,49491.0,6.0
157.0,New Zealand,1848,,25.0,,1780.0,10.0,43.0,,369.0,5.0,970641.0,194047.0,5002100.0,Australia/Oceania,2707.0,200084.0,5.0
158.0,Togo,1818,9.0,48.0,,1365.0,12.0,405.0,,218.0,6.0,93294.0,11203.0,8327412.0,Africa,4581.0,173488.0,89.0
159.0,Cyprus,1789,17.0,22.0,,1369.0,,398.0,1.0,1479.0,18.0,384821.0,318131.0,1209629.0,Asia,676.0,54983.0,3.0
160.0,Lesotho,1680,41.0,39.0,1.0,926.0,52.0,715.0,,783.0,18.0,19169.0,8930.0,2146630.0,Africa,1278.0,55042.0,112.0
161.0,Martinique,1543,,21.0,,98.0,,1424.0,9.0,4113.0,56.0,36331.0,96834.0,375189.0,North America,243.0,17866.0,10.0
162.0,Liberia,1346,3.0,82.0,,1221.0,,43.0,,265.0,16.0,,,5087507.0,Africa,3780.0,62043.0,
163.0,Chad,1211,8.0,85.0,,1070.0,3.0,56.0,,73.0,5.0,,,16542961.0,Africa,13661.0,194623.0,
164.0,Niger,1198,1.0,69.0,,1115.0,1.0,14.0,,49.0,3.0,25579.0,1047.0,24421139.0,Africa,20385.0,353930.0,955.0
165.0,Vietnam,1096,1.0,35.0,,1020.0,10.0,41.0,,11.0,0.4,1009145.0,10343.0,97564118.0,Asia,89018.0,2787546.0,97.0
166.0,Sao Tome and Principe,911,,15.0,,886.0,,10.0,,4137.0,68.0,5024.0,22817.0,220189.0,Africa,242.0,14679.0,44.0
167.0,San Marino,732,,42.0,,680.0,,10.0,3.0,21561.0,1237.0,7755.0,228424.0,33950.0,Europe,46.0,808.0,4.0
168.0,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,,,,,,,,
169.0,Turks and Caicos,690,1.0,6.0,,648.0,3.0,36.0,4.0,17760.0,154.0,3378.0,86948.0,38851.0,North America,56.0,6475.0,12.0
170.0,Channel Islands,677,12.0,48.0,,600.0,,29.0,2.0,3885.0,275.0,123884.0,710849.0,174276.0,Europe,257.0,3631.0,1.0
171.0,Sint Maarten,668,1.0,22.0,,567.0,10.0,79.0,6.0,15535.0,512.0,3767.0,87603.0,43001.0,North America,64.0,1955.0,11.0
172.0,Papua New Guinea,539,,7.0,,519.0,,13.0,,60.0,0.8,25955.0,2887.0,8989908.0,Australia/Oceania,16679.0,1284273.0,346.0
173.0,Taiwan,517,2.0,7.0,,484.0,,26.0,,22.0,0.3,94459.0,3964.0,23828009.0,Asia,46089.0,3404001.0,252.0
174.0,Burundi,513,3.0,1.0,,472.0,,40.0,,43.0,0.08,37522.0,3132.0,11978580.0,Africa,23350.0,11978580.0,319.0
175.0,Tanzania,509,,21.0,,183.0,,305.0,7.0,8.0,0.3,,,60157086.0,Africa,118187.0,2864623.0,
176.0,Comoros,484,,7.0,,466.0,,11.0,,554.0,8.0,,,874268.0,Africa,1806.0,124895.0,
177.0,Faeroe Islands,472,,,,432.0,3.0,40.0,,9650.0,,132025.0,2699291.0,48911.0,Europe,104.0,,0.0
178.0,Gibraltar,416,6.0,,,351.0,2.0,65.0,,12349.0,,48160.0,1429589.0,33688.0,Europe,81.0,,1.0
179.0,Saint Martin,412,9.0,8.0,,309.0,,95.0,11.0,10610.0,206.0,5170.0,133134.0,38833.0,North America,94.0,4854.0,8.0
180.0,Curaçao,411,12.0,1.0,,197.0,12.0,213.0,2.0,2502.0,6.0,7730.0,47058.0,164267.0,North America,400.0,164267.0,21.0
181.0,Mauritius,385,4.0,10.0,,344.0,,31.0,,303.0,8.0,246326.0,193604.0,1272318.0,Africa,3305.0,127232.0,5.0
182.0,Eritrea,381,,,,353.0,,28.0,,107.0,,,,3558955.0,Africa,9341.0,,
183.0,Isle of Man,341,1.0,24.0,,315.0,,2.0,,4005.0,282.0,13257.0,155690.0,85150.0,Europe,250.0,3548.0,6.0
184.0,Mongolia,313,,,,307.0,,6.0,1.0,95.0,,71418.0,21696.0,3291717.0,Asia,10517.0,,46.0
185.0,Bhutan,282,,,,225.0,3.0,57.0,,364.0,,137893.0,178205.0,773788.0,Asia,2744.0,,6.0
186.0,Cambodia,278,1.0,,,275.0,,3.0,,17.0,,140194.0,8356.0,16778051.0,Asia,60353.0,,120.0
187.0,Monaco,221,2.0,2.0,,188.0,1.0,31.0,1.0,5621.0,51.0,51953.0,1321489.0,39314.0,Europe,178.0,19657.0,1.0
188.0,Cayman Islands,213,2.0,1.0,,209.0,,3.0,,3231.0,15.0,39814.0,603975.0,65920.0,North America,309.0,65920.0,2.0
189.0,Barbados,193,,7.0,,179.0,,7.0,,671.0,24.0,23750.0,82618.0,287467.0,North America,1489.0,41067.0,12.0
190.0,Bermuda,181,,9.0,,169.0,1.0,3.0,,2909.0,145.0,65904.0,1059243.0,62218.0,North America,344.0,6913.0,1.0
191.0,Brunei,146,,3.0,,142.0,,1.0,,333.0,7.0,58914.0,134336.0,438557.0,Asia,3004.0,146186.0,7.0
192.0,Seychelles,145,1.0,,,143.0,,2.0,,1472.0,,5200.0,52789.0,98505.0,Africa,679.0,,19.0
193.0,Caribbean Netherlands,121,,1.0,,32.0,,88.0,,4603.0,38.0,2569.0,97733.0,26286.0,North America,217.0,26286.0,10.0
194.0,Liechtenstein,120,1.0,1.0,,116.0,2.0,3.0,,3145.0,26.0,900.0,23587.0,38156.0,Europe,318.0,38156.0,42.0
195.0,Antigua and Barbuda,106,5.0,3.0,,94.0,2.0,9.0,,1080.0,31.0,2813.0,28664.0,98138.0,North America,926.0,32713.0,35.0
196.0,British Virgin Islands,71,,1.0,,66.0,,4.0,2.0,2345.0,33.0,4841.0,159859.0,30283.0,North America,427.0,30283.0,6.0
197.0,St. Vincent Grenadines,64,,,,64.0,,0.0,,576.0,,5225.0,47059.0,111032.0,North America,1735.0,,21.0
198.0,St. Barth,62,8.0,,,37.0,,25.0,,6272.0,,2668.0,269904.0,9885.0,North America,159.0,,4.0
199.0,Macao,46,,,,46.0,,0.0,,71.0,,4238.0,6504.0,651596.0,Asia,14165.0,,154.0
200.0,Fiji,32,,2.0,,28.0,,2.0,1.0,36.0,2.0,9912.0,11036.0,898123.0,Australia/Oceania,28066.0,449062.0,91.0
201.0,Dominica,31,,,,24.0,,7.0,,430.0,,2612.0,36261.0,72033.0,North America,2324.0,,28.0
202.0,Timor-Leste,28,,,,28.0,,0.0,,21.0,,8073.0,6094.0,1324798.0,Asia,47314.0,,164.0
203.0,New Caledonia,27,,,,27.0,,0.0,,94.0,,14585.0,50960.0,286204.0,Australia/Oceania,10600.0,,20.0
204.0,Saint Lucia,27,,,,27.0,,0.0,,147.0,,8120.0,44168.0,183845.0,North America,6809.0,,23.0
205.0,Grenada,24,,,,24.0,,0.0,,213.0,,6252.0,55495.0,112658.0,North America,4694.0,,18.0
206.0,Laos,23,,,,22.0,,1.0,,3.0,,54069.0,7404.0,7302488.0,Asia,317499.0,,135.0
207.0,Saint Kitts and Nevis,19,,,,17.0,,2.0,,356.0,,2431.0,45613.0,53296.0,North America,2805.0,,22.0
208.0,Saint Pierre Miquelon,16,,,,6.0,,10.0,,2765.0,,1967.0,339900.0,5787.0,North America,362.0,,3.0
209.0,Greenland,14,,,,14.0,,0.0,,246.0,,7949.0,139957.0,56796.0,North America,4057.0,,7.0
210.0,Montserrat,13,,1.0,,12.0,,0.0,,2604.0,200.0,449.0,89926.0,4993.0,North America,384.0,4993.0,11.0
211.0,Falkland Islands,13,,,,13.0,,0.0,,3709.0,,2261.0,645078.0,3505.0,South America,270.0,,2.0
212.0,Vatican City,12,,,,12.0,,0.0,,14963.0,,,,802.0,Europe,67.0,,
213.0,Western Sahara,10,,1.0,,8.0,,1.0,,17.0,2.0,,,601016.0,Africa,60102.0,601016.0,
214.0,MS Zaandam,9,,2.0,,,,7.0,,,,,,,,,,
215.0,Anguilla,3,,,,3.0,,0.0,,200.0,,1020.0,67833.0,15037.0,North America,5012.0,,15.0
